Manga Title,Tag Name
JoJo's Bizarre Adventure Part 9 - The JOJOLands,"Action, Crime, Mafia, Adventure, Sexual Violence, Gore, Drama, Delinquents, Supernatural"
"The Story of the Cool, Downer-type University Girl Beside Me at the Standing Bar","Romance, Comedy, Office Workers, Adaptation"
My Girlfriend,"Psychological, Long Strip, Drama, Horror, Mystery, Full Color"
Völundio ~Divergent Sword Saga~,"Action, Comedy, Adventure, Magic, Drama, Fantasy"
The Blue Wolves of Mibu: Shinsengumi Arc,"Historical, Action, Martial Arts, Samurai, Drama, Police"
A Parallel World with a 1:39 Male to Female Ratio is Unexpectedly Normal,"Romance, Comedy, Incest, Harem, Isekai, Drama, School Life, Web Comic, Slice of Life"
My Hero Academia (Official Colored),"Official Colored, Action, Superhero, Adventure"
Vigilante Part 2,"Action, Long Strip, Crime, Police, Web Comic, Full Color"
Lunch Sake,"Comedy, Slice of Life, Cooking, Adaptation"
My Seatmate Wakao-san's Face is Almost Visible but It's Not,"Romance, Comedy, School Life"
Yu☆Gi☆Oh! Duelist,"Thriller, Historical, Monsters, Action, Psychological, Gore, Fantasy"
Birdy the Mighty Evolution,"Sci-Fi, Genderswap, Action, Comedy, Fantasy, Aliens"
The Flowery Path of Evil,"Reincarnation, Romance, Comedy, Isekai, Drama, Fantasy, Villainess, Adaptation"
Ryuu: Ron,"Award Winning, Historical, Action, Romance, Martial Arts, Adventure, Drama, Slice of Life"
Ningyou Pass,"Drama, Horror, Mystery, Tragedy"
Mikoto-chan Doesn’t Want to Be Hated!,"Romance, Comedy, Drama, School Life, Slice of Life, Full Color"
Corpse to Corpse,"Oneshot, Girls' Love, Horror, Vampires"
In Another World with My Smartphone,"Action, Romance, Comedy, Mecha, Adventure, Magic, Harem, Isekai, Fantasy, Slice of Life, Adaptation"
Chainsmoker Cat,"Psychological, Animals, Comedy, Slice of Life"
The War of Greedy Witches,"Historical, Monsters, Action, Demons, Psychological, Martial Arts, Samurai, Magical Girls, Magic, Fantasy, Supernatural, Tragedy"
The Guy She Was Interested in Wasn't a Guy at All,"Award Winning, Romance, Girls' Love, School Life, Web Comic, Slice of Life, Music, Gyaru"
Surprisingly Fun New Life of a Divorced Lady Who Is No Longer Interested,"Romance, Magic, Drama, Fantasy, Adaptation"
Kiss the Coming Apocalypse,"Action, Long Strip, Comedy, Crime, Girls' Love, Drama, Full Color"
Led by Stars,"Monsters, Action, Adventure, Sexual Violence, Gore, Horror, Fantasy, Monster Girls, Mystery"
The King of Games,"Thriller, Traditional Games, Historical, Monsters, Action, Demons, Psychological, Animals, Romance, Comedy, Survival, Adventure, Office Workers, Magic, Gore, Drama, School Life, Fantasy, Delinquents, Slice of Life, Supernatural, Mystery, Tragedy"
"Big and Muscular, Small and Chubby","Romance, Comedy, Slice of Life"
"Move Aside, I’ll Be the Magical Girl!","Thriller, Genderswap, Action, Long Strip, Survival, Magical Girls, Adventure, Harem, Web Comic, Slice of Life, Supernatural"
Red Light Elegy,"Romance, Comedy, Drama, Slice of Life"
Baki Part 6,"Action, Sports, Martial Arts, Gore, Drama, Slice of Life"
Merry-san,"Comedy, 4-Koma, Monster Girls, Web Comic, Slice of Life, Full Color"
Bocchi the Rock! Anthology Comic,"Comedy, Anthology, Slice of Life, Music"
"The Kouhai Who Acts Like a Little Devil Only Around Me is Cute in Reality, but Even Cuter in My Dreams","Romance, School Life, Supernatural, Adaptation"
A Boy Who Was Just a Friend for Ten Years Confessed Love to Me,"Romance, Comedy, School Life"
No More Broken Hearts,"Romance, Comedy, Self-Published, Girls' Love, Drama, Slice of Life"
Farming Life in Another World,"Monsters, Comedy, Survival, Adventure, Magic, Harem, Isekai, Fantasy, Monster Girls, Slice of Life, Adaptation"
Rebuild World,"Sci-Fi, Action, Adventure, Post-Apocalyptic, Gore, Mystery, Adaptation"
Chillin' in Another World with Level 2 Super Cheat Powers,"Monsters, Action, Demons, Romance, Comedy, Adventure, Magic, Isekai, Drama, Fantasy, Monster Girls, Slice of Life, Adaptation"
Kurumizawa's Folly,"Historical, Psychological, Drama"
Days Off in the Dragon's Stomach,"Monsters, Action, Comedy, Survival, Adventure, Magic, Military, Gore, Fantasy, Monster Girls, Slice of Life"
For the Sake of My Future Vengeance,"Psychological, Romance, Web Comic"
"It's a Little Late, but I've Fallen in Love with My Childhood Friend.","Romance, Comedy, Drama, Web Comic, Adaptation"
Maibara-kun Can't Get Away from the Strong Gals,"Romance, Comedy, School Life, Shota, Slice of Life"
Umineko WHEN THEY CRY Episode 5: End of the Golden Witch,"Action, Psychological, Drama, Horror, Fantasy, Supernatural, Mystery, Tragedy"
The Delinquent Shrine Maiden,"Delinquents, Web Comic, Slice of Life"
Be Blues!,"Award Winning, Sports, Drama, School Life, Slice of Life"
Phony Fortune-Telling Gyaru [R18],"Romance, Comedy, 4-Koma, School Life, Web Comic, Full Color"
Hirano And Kagiura,"Romance, Boys' Love, School Life, Slice of Life"
Blind Heart 99%,"Long Strip, Romance, School Life, Full Color"
Oosaki-san & Komori-san,"Romance, Comedy, Girls' Love, 4-Koma, Web Comic, Slice of Life"
"Are You a Landmine, Chihara-san?","Romance, Comedy, School Life"
"Umamusume: Peace, Yo! It's Golshi!","Comedy, Sports, School Life, Slice of Life, Adaptation"
The Story of an Exploration Hero Who has Worked His Way up From Common People,"Loli, Action, Adventure, Harem, Fantasy, Adaptation"
Scissor Seven Bonus Chapters — The Legend of the Xuanwu Heroes: The Short Swordsman,
Maison and the Man-Eating Apartment,"Sci-Fi, Adventure, Drama, Fantasy, Mystery"
Witch Buster,"Action, Romance, Comedy, Adventure, Drama, Fantasy"
The Masterful Cat Is Depressed Again Today,"Animals, Comedy, Office Workers, 4-Koma, Slice of Life"
My Ideal Girlfriend,"Romance, Comedy, School Life, Slice of Life"
This is a First! Lady of Okumi Lavishing Praise on Her Penniless Friend,"Romance, Comedy, Girls' Love, School Life, Cooking, Adaptation"
"Me, The Second Best, And My Number One Girlfriend","Romance, Comedy, School Life, Slice of Life, Adaptation"
We're J-Just Childhood Friends,"Romance, Comedy, School Life, Slice of Life"
"I Can Now See a Few Minutes Into the Future, but I Still Can’t Understand a Woman’s Heart.","Romance, Comedy, Harem, School Life, Supernatural, Adaptation"
How the Little Brother Who Turned Into a Girl Became His Big Brother's Girlfriend,"Genderswap, Loli, Romance, Incest, Crossdressing, Shota, Web Comic, Slice of Life"
Subaru and Subaru,"Action, Sports, Drama"
Good-For-Nothing Blues,"Thriller, Action, Psychological, Romance, Comedy, Sports, Drama, School Life, Delinquents, Slice of Life"
FarEast Canaan,"Historical, Action, Survival, Military, Gore, Web Comic"
Bocchi the Rock! Side Story: Hiroi Kikuri's Heavy Drinking Diary,"Comedy, Survival, Slice of Life, Music"
POWPOW! Odyssey,"Action, Comedy, Adventure, Self-Published, Mystery"
Vanilla and Orange,"Romance, School Life, Slice of Life"
I Like You Who Can Have Sex with Anyone,"Romance, Comedy, Drama, School Life, Gyaru"
Tamon's B-Side,"Romance, Comedy, School Life, Slice of Life, Music"
"To Be You, Even Just for a Day","Thriller, Psychological, Long Strip, Romance, Drama, Fantasy, Villainess, Supernatural, Mystery, Full Color, Tragedy"
"I Couldn't Become an Adventurer, So I'll Help Troubled Girls with My ""Breast Correction"" Skill!?","Romance, Comedy, Magic, Harem, School Life, Fantasy, Slice of Life, Adaptation"
Haimiya-Senpai is Scary But Cute,"Romance, Comedy, Drama, School Life, Slice of Life"
Stray Dog and Angel,"Romance, Drama, Slice of Life"
Uma Musume - Pretty Derby: Star Blossom,"Action, Sports, Drama, School Life, Slice of Life, Adaptation"
Hooked on Captain Charming,"Long Strip, Romance, Comedy, Drama, Fantasy, Full Color"
The Story of My Stepsister Apparently Being a Yandere,"Romance, Comedy, Incest, Web Comic"
Space Juggernaut,"Sci-Fi, Action, Romance, Survival, Adventure, Self-Published, Girls' Love, Gore, Fantasy, Monster Girls, Aliens, Tragedy"
Nezumi's First Love,"Thriller, Romance, Crime, Mafia, Sexual Violence, Gore, Drama, Delinquents"
Leader of the Flower Shrine Maidens,"Action, Romance, Comedy, Harem, Fantasy"
The Gourmet,"Award Winning, Psychological, Romance, Comedy, Office Workers, Drama, Slice of Life, Cooking, Tragedy"
Inheritor of The Machine God: Unbreaker,"Action, Romance, Comedy, Mecha, Drama, Fantasy"
I Live in Isekai,"Thriller, Monsters, Action, Demons, Ghosts, Animals, Romance, Comedy, Boys' Love, Survival, Zombies, Martial Arts, Magical Girls, Adventure, Self-Published, Magic, Harem, Isekai, Gore, Drama, Horror, Fantasy, Vampires, Delinquents, Monster Girls, Slice of Life, Supernatural, Mystery, Adaptation, Tragedy"
Headhunted to Another World: From Salaryman to Big Four!,"Monsters, Action, Demons, Romance, Comedy, Adventure, Office Workers, Magic, Harem, Isekai, Fantasy, Monster Girls"
I Parry Everything: What Do You Mean I’m the Strongest? I’m Not Even an Adventurer Yet!,"Monsters, Action, Comedy, Adventure, Magic, Fantasy, Slice of Life, Adaptation"
Whisper Me a Love Song,"Romance, Girls' Love, Drama, School Life, Slice of Life, Music"
Garment!,"Romance, Comedy, Boys' Love, Office Workers"
Youjo Senki Restaurant,"Historical, Comedy, Fantasy, Slice of Life, Cooking"
All's Well,"Sci-Fi, Time Travel, Action, Sexual Violence, Military, Gore, Horror"
That Time I Was Blackmailed By the Class's Green Tea Bitch,"Long Strip, Romance, Comedy, Sexual Violence, Girls' Love, Drama, School Life, Web Comic, Full Color"
Loner Life in Another World,"Monsters, Action, Romance, Comedy, Adventure, Magic, Harem, Isekai, Fantasy, Adaptation"
To Love-Ru - Digital Colored Comics,"Sci-Fi, Official Colored, Romance, Comedy, Harem, School Life, Aliens, Supernatural"
"Hime-sama, Goranshin!: The Genius Tutor's (My) Survival Strategy Against the Cute Princess Who Turned Do-S","Reincarnation, Romance, Comedy, Sexual Violence, Isekai, Fantasy"
"I Want to Beat You, Oh Roji","Long Strip, Romance, Comedy, Drama, School Life, Web Comic, Slice of Life, Full Color"
Semantic Error,"Long Strip, Romance, Comedy, Boys' Love, Drama, School Life, Web Comic, Adaptation, Full Color"
Fabulous Beasts,"Animals, Long Strip, Comedy, Fantasy, Slice of Life, Supernatural, Tragedy"
"A Slow Life After Being Expelled, Which I Never Wanted?: I was Supposed to Have Retired, but Somehow I Ended Up Becoming a Beautiful Girl's Mentor, and for Some Reason, She Has Taken a Liking to Me.","Romance, Comedy, Adventure, Magic, Adaptation, Gyaru"
Demon X Angel Can't Get Along!,"Long Strip, Romance, Comedy, Fantasy, Web Comic, Full Color"
Bear and Bunny Cannot Be Friends,"Romance, Comedy, School Life"
All-Duties Mage,"Action, Comedy, Magic, Harem, Isekai, Drama, School Life, Fantasy, Web Comic, Supernatural, Adaptation, Full Color"
Evolution of Extreme Heat,"Action, Psychological, Long Strip, Horror, Supernatural, Mystery, Full Color, Tragedy"
Smile!,"Thriller, Psychological, Horror, Mystery"
Please Don't Die!,"Long Strip, Romance, Drama, Fantasy, Full Color"
"The Duke’s Daughter's Mission to Seduce the Demon King, Humanity's Final Gambit: A Political Marriage with the Demon King! ...Hang On, But What am I Supposed to Do If the Demon King is a Girl!?","Time Travel, Action, Demons, Romance, Comedy, Magic, Girls' Love, Gore, Fantasy, Monster Girls, Mystery, Adaptation"
Priceless Is You In Tears,"Romance, Boys' Love"
The Angel Next Door Spoils Me Rotten,"Romance, Comedy, School Life, Cooking, Adaptation"
The Young Robot and the Dangerous Professor,"Loli, Comedy, Girls' Love, Web Comic, Slice of Life"
Love Lesson,"Romance, Comedy, Philosophical, School Life, Slice of Life"
Hinako's Notes,"Loli, Comedy, 4-Koma, Slice of Life"
Two Girls in Love with High Grade Model Kits,"Comedy, Office Workers, School Life, Slice of Life"
My Ex-Girlfriend Became My Boss,"Long Strip, Romance, Comedy, Office Workers, Girls' Love, Adaptation, Full Color"
The Mortifying Ordeal of Being Seen,"Romance, Comedy, School Life, Web Comic, Slice of Life"
Experimental Doll Dummy Oscar,"Romance, Adventure, Sexual Violence, Harem, Drama, Mystery"
A Boy Who Naturally Dresses as a Girl at Home,"Crossdressing, School Life, Shota, Web Comic, Slice of Life"
Dream⭐︎Jumbo⭐︎Girl,"Comedy, Girls' Love, Slice of Life"
Touch,"Award Winning, Romance, Comedy, Sports, Drama, School Life, Slice of Life, Tragedy"
Magical Girl Chronicles,"Romance, Comedy, Magical Girls, Self-Published, 4-Koma, School Life, Slice of Life"
Akanabe-sensei Doesn't Know About Embarrassment,"Romance, Comedy, Slice of Life"
The Barbarian,"Historical, Samurai"
Let's Manage the Tower,"Reincarnation, Monsters, Action, Demons, Animals, Romance, Comedy, Adventure, Magic, Harem, Isekai, Fantasy, Vampires, Monster Girls, Supernatural, Adaptation"
Jaki,"Oneshot, Demons"
"After School, We Wander in Space","Romance, Comedy, School Life, Slice of Life"
"""I Want to Touch"" is How Love Starts","Comedy, Girls' Love, Drama, School Life"
"Kono JK, Nakami wa Doutei Yankee desu","Genderswap, Romance, Drama, School Life"
Bus For Two,"Romance, Comedy, School Life, Slice of Life"
My Lovely Fox Wife,"Romance, Monster Girls, Slice of Life, Supernatural"
How a Realist Hero Rebuilt the Kingdom,"Action, Romance, Comedy, Adventure, Office Workers, Magic, Harem, Military, Isekai, Drama, Fantasy, Monster Girls, Adaptation"
Guardian of the Darkness,"Action, Martial Arts, Adventure, Fantasy, Adaptation"
The Wonder Boy,"Time Travel, Psychological, Drama, Supernatural"
Ittsu,"Romance, Comedy, School Life"
Godzilla GO,"Sci-Fi, Monsters, Action"
Hoshi no Ouka,"Comedy, Drama, School Life, Slice of Life, Gyaru"
Anna Komnene,"Historical, Comedy, Adventure, 4-Koma, Drama, Slice of Life"
Open Car Girls,"Comedy, School Life, Slice of Life"
Common-Sense Monster,"Monsters, Psychological, Romance, Comedy, Girls' Love, Gore, Drama, School Life, Horror, Monster Girls, Supernatural"
Berserk,"Award Winning, Monsters, Action, Demons, Psychological, Adventure, Sexual Violence, Military, Philosophical, Gore, Drama, Horror, Fantasy"
Contradict,"Romance, Boys' Love"
I Met the Male Lead in Prison (2023),"Reincarnation, Long Strip, Romance, Reverse Harem, Isekai, Drama, Fantasy, Adaptation, Full Color"
Countach,"Romance, Comedy, Sports, Slice of Life"
The Goddess Consort Reigns Supreme,"Historical, Action, Long Strip, Romance, Adventure, Magic, Drama, Fantasy, Mystery, Full Color"
Surviving as the Devil's Child,"Reincarnation, Demons, Long Strip, Romance, Magic, Fantasy, Adaptation"
Online Game: I Can Evolve Everything (Remake),"Reincarnation, Action, Long Strip, Adventure, Fantasy, Full Color"
Last Summer with a Married Woman,"Romance, Drama"
My Neighbor Seki,"Comedy, School Life, Slice of Life"
Monster Duke's Daughter,"Monsters, Demons, Long Strip, Romance, Magic, Drama, Fantasy, Web Comic, Adaptation, Full Color"
Secret Alliance,"Psychological, Long Strip, Romance, Crossdressing, Drama, Full Color"
Extraordinary Descent Genius,"Monsters, Action, Long Strip, Adventure, Magic, Fantasy, Web Comic, Supernatural, Adaptation, Full Color"
Seeds of Anxiety*,"Monsters, Demons, Psychological, Ghosts, Anthology, Gore, Drama, Horror, Slice of Life, Supernatural, Mystery"
Reborn into an Eroge World Just to Snuggle with Monster Girls,"Action, Long Strip, Romance, Adventure, Harem, Drama, Fantasy, Monster Girls, Full Color"
Ascendance of a Bookworm: At Ferdinand’s Mansion,"Reincarnation, Magic, Isekai, Fantasy, Supernatural, Adaptation"
-Hitogatana-,"Sci-Fi, Action, Psychological, Mecha, Martial Arts, Drama, Tragedy"
The Wolf Can't Win Against Hayakawa,"Animals, Romance, Comedy, Drama, School Life, Supernatural"
"Somehow, I Started Living With a NEET Otaku Kunoichi","Monsters, Romance, Ninja, Comedy, Web Comic, Slice of Life, Supernatural"
Pushoff,"Long Strip, Drama, Web Comic, Slice of Life"
The Aberrant-Headed Guy and the Human Girl,"Monsters, Romance, Comedy, Isekai, Web Comic"
She Tames Heroes,"Romance, Drama, Fantasy, Web Comic, Full Color"
"I was Reincarnated as the Scumbag from a Netorare Manga, But the Heroine is Coming on to Me","Reincarnation, Romance, Comedy, Sexual Violence, Harem, Isekai, Drama, Delinquents, Adaptation"
Girl Meets Rock!,"Award Winning, Comedy, Drama, School Life, Web Comic, Slice of Life, Music"
Fights Breaking Through The Heavens,"Action, Long Strip, Romance, Comedy, Martial Arts, Adventure, Harem, Wuxia, Drama, Fantasy, Adaptation, Full Color"
